tgrep.id	entire.sentence	Sentence_type	DE_operator	Numeral	And_test	Or_both_test	Actually_test	Disjunct_relation	Disjunct_individuation	Or_not	
22745:68	"and the first thing i caught was a sand shark, which was probA-Bly a foot, and a half or, uh, two feet long,"	declarative	relclause	num	change	not available	nochange	A~B	same	no	
46306:157	"and, and i don't know if it's, uh, the family, you know, thing where they're not bonding anymore, where mothers are working all the time and, the kids aren't getting the attention that they need, or the television."	declarative	wh	nonum	change	nochange	change	A~B	different	no	
71894:104	"but i feel guilty for not going, because i really i'm, i'm so used to going for, you know, three or four years now."	declarative	not available	num	change	not available	change	A~B	same	yes	
23449:67	"and maybe instead of, of, uh, just kind of blowing it off just spend a day or a day and a half like most folks do, maybe we should commit to spend a week,"	declarative	not available	num	change	not available	change	A~B	same	no	
26474:25	"in our parking lots, uh, two or three days ago i saw one of the new honda sports cars."	declarative	not available	num	change	not available	change	A~B	same	no	
109324:31	"i don't know if those are still availA-Ble or not,"	declarative	wh	nonum	change	not available	change	A~B	different	yes	
139777:33	"that's pretty much the south end of the state, or the southern quarter of the state, anyway.."	declarative	not available	nonum	nochange	not available	nochange	A<B	same	no	
38195:38	"so, uh, does your husband ever use, uh, a laptop or a notebook."	interrogative	not available	nonum	change	change	change	A<B	same	no	
13821:162	"uh, i, i don't have a, other than, than a reading and, and male perspective on, on the ver-, on the biological urges involved relative to being a mother or not."	declarative	not available	nonum	change	not available	change	A~B	different	yes	
59548:36	i don't know if the t i in dallas does or not.	declarative	wh	nonum	change	not available	change	A~B	different	yes	
3087:28	"is that with regard to work place engineering, or just, you know, environm-, the work place environment"	interrogative	not available	nonum	change	nochange	change	A>B	same	no	
128452:34	"within reason, you know, you can lose weight or maintain your weight and your physical being"	declarative	not available	nonum	nochange	nochange	nochange	A>B	same	no	
2067:114	"and i made a lotus spreadsheet and went through the year using all of our, our checkbook to figure out what we spent each time and whether we were over or under for each month"	declarative	wh	nonum	change	not available	change	A~B	same	no	
58773:18	i tried it like once or twice	declarative	not available	num	change	not available	change	A~B	same	no	
9023:22	"i think i had three or four seeds in each one of them,"	declarative	not available	num	change	not available	change	A~B	same	no	
174455:39	"the only commitments that they're interested inb making or even talking A-Boutd are ones for flash value like, uh, the trip to mars. which is, would, would produce some useful scientific research and so forth,"	declarative	relclause	nonum	nochange	change	nochange	A>B	different	no	
128489:81	"but if you do some basic exercises and you say every morning, just like brushing your teeth you're going to spend fifteen minutes or a half hour."	declarative	not available	num	change	not available	change	A~B	same	no	
152062:17	you maybe get two or three a year.	declarative	not available	num	change	not available	change	A~B	same	no	
148616:32	"uh, i haven't done any of the oil or watercolor."	declarative	negation	nonum	nochange	nochange	change	A~B	same	no	
22409:25	"and, uh, i have caught one or two small sharks"	declarative	not available	nonum	change	not available	change	A~B	same	no	
153824:74	"around this time of year you expect it up here to get down to A-Bout, uh, i don't know, ten or twenty degrees"	declarative	not available	num	change	not available	change	A~B	same	no	
135677:7	"saturday or sunday they were saying,"	declarative	not available	nonum	change	change	change	A~B	same	no	
139418:63	"i'm in favor of very little clean up, um, very little planning because we've got three or four couples that we get together with to play games,"	declarative	not available	num	change	not available	change	A~B	same	no	
133422:57	"um, and the, the severity of the deficit picture already limits the options availA-Ble or limits the degree of tax cutting you can do without, uh, bringing on, on serious problems for the longer term."	declarative	not available	nonum	nochange	nochange	nochange	A<B	same	no	
126911:45	"now, that's one i have watched, oh, six or eight times."	declarative	relclause	num	change	not available	change	A~B	same	no	
42508:50	"if, if you're going to hunt with it, or if you're goingb to do sport shooting you can wait a week."	declarative	antecedent	nonum	nochange	nochange	change	A~B	different	no	
125370:17	has that been the cutlass or the sierra.	interrogative	wh	nonum	change	nochange	change	A~B	different	no	
112347:54	"now, my kids didn't like it because they just wanted to get plain old spaghetti or lasagna,"	declarative	not available	nonum	change	change	change	A~B	same	no	
84362:25	"but ita has been A-Bout three or four years of, uh, uh, playing around with flowers to de-, decide which ones actually grow here."	declarative	not available	num	change	not available	change	A~B	same	no	
91686:57	"when if, if i have long periods of time, like christmas vacation, or, you know, when i know i'm not going to be doing anything for a while, um,"	declarative	wh	nonum	change	nochange	nochange	A>B	same	no	
36223:17	picking up the garbage or educating our kids.	declarative	not available	nonum	change	not available	change	A~B	different	no	
12033:60	"i mean, what do you think we can, uh, i guess as individuals or as a group, do A-Bout, uh, air pollution.."	interrogative	wh	nonum	nochange	nochange	nochange	A~B	same	no	
150028:44	so i don't know if i could have taken it to another retailer or not.	declarative	wh	nonum	change	not available	change	A~B	different	yes	
12128:43	"well, it just means if you don't pollute, right, or you pollute very little you don't have to pay any tax"	declarative	antecedent	nonum	change	not available	nochange	A>B	same	no	
6904:85	"well, um, with credit cards is, me, i, uh, i try to get maybe just one or two,"	declarative	not available	num	change	not available	change	A~B	same	no	
163402:100	"we, that's been an, a, an issue, uh, in our company even though we don't have the random or even regular drug screening."	declarative	negation	nonum	nochange	change	change	A~B	same	no	
38800:88	"you know, it's, it's so easy to get caught up on reading just for your work, or, you know, self improvement,"	declarative	not available	nonum	nochange	nochange	change	A~B	different	no	
117429:39	so you're all back to the safety catches and the whole nine yards or either watching them every minute.	declarative	not available	nonum	change	change	change	A~B	different	no	
166827:24	"i think it's, four or five,"	declarative	not available	num	change	not available	change	A~B	same	no	
17825:58	"it's, it's tough on the joints if you jog on concrete, or on asphalt."	declarative	antecedent	nonum	nochange	nochange	change	A~B	same	no	
44437:69	"i think they tend to be more educated, much more, educated than, than africa or the latin american countries."	declarative	not available	nonum	nochange	nochange	change	A~B	same	no	
136418:78	"and, uh, but anytime there's a change in the weather, like the temperature, drastic changes in temperature or in, uh, moisture, uh, you get little spider web cracks all around, uh, windows and doors."	declarative	not available	nonum	nochange	nochange	change	A~B	same	no	
32096:57	"i guess they, they say you can plant them in the spring or the fall, all."	declarative	not available	nonum	nochange	nochange	change	A~B	same	no	
37457:58	"they don't have the offense to, uh, to get out, or to have the, the more runs,"	declarative	not available	nonum	nochange	nochange	change	A<B	same	no	
172615:77	"uh, uh, i really think that we need to get into the mold where we talk A-Bout years rather than months or weeks."	declarative	not available	nonum	nochange	not available	change	A<B	same	no	
157389:42	"and basically, uh, we were going to be paying seventy or eighty percent tax."	declarative	not available	num	change	not available	change	A~B	same	no	
148987:58	"and finally president johnson said, well, they're weren't really sure whether it was a dolphin or a torpedo."	declarative	wh	nonum	change	change	change	A~B	different	no	
122921:24	we used to get four or five inches a year.	declarative	not available	num	change	not available	change	A~B	same	no	
170957:97	i think my wife is much better than i am at that walking into a place and getting a feeling for whether it is a loving and caring place or not	declarative	wh	nonum	change	not available	change	A~B	different	yes	
74544:45	"do youself have children wi-, who are or have been through the public school system."	interrogative	wh	nonum	change	not available	change	A~B	same	no	
155153:30	"uh, well i think, either my wife or i would like to pursue advanced degrees at some point"	declarative	not available	nonum	change	not available	change	A~B	same	no	
125982:22	"my electrical system shorted out like two or three times,"	declarative	not available	num	change	not available	change	A~B	same	no	
111855:32	and my husband and i like getting the salads or the lighter meals	declarative	not available	nonum	nochange	change	nochange	A>B	same	no	
35840:44	"but, uh, uh, i don't know if it's their proposal or one that's being seriously kicked around."	declarative	wh	nonum	change	change	change	A~B	different	no	
61981:60	you can actually buy a whole brand new computer with a not not a necessarily a slow one or inadequate one but a pretty good one for six hundred dollars.	declarative	not available	nonum	change	nochange	nochange	A>B	same	no	
41615:46	"and so when i'm teaching a class, obviously i wear a suit or dress,"	declarative	not available	nonum	change	not available	change	A~B	same	no	
62188:33	"well, i don't know if i know anything or not,"	declarative	wh	nonum	change	not available	change	A~B	different	yes	
49825:209	"but i think, uh, actually, uh, in, in trying to follow, uh, you know the cowboys over the years i think, uh, uh, they used to have a, um, a philosophy for, well i don't know, probA-Bly the last twenty-five years except for A-Bout the last A-Bout five or six years uh,"	declarative	not available	num	change	not available	change	A~B	same	no	
111626:16	she's A-Bout seven or eight years old.	declarative	not available	num	change	not available	change	A~B	same	no	
6480:57	"but it should be a standard and, and not left up to either the whim or the current overhead rate t-, uh, thatb's running in each department."	declarative	negation	nonum	nochange	change	change	A~B	different	no	
18501:69	"but, um, the water usage, you know, they try to limit, even though there's three or four streams that flow into it,"	declarative	not available	num	change	not available	change	A~B	same	no	
173602:32	"you can buy pharmaceutical grade cocaine for what, ten or twenty dollars an ounce."	declarative	wh	num	change	not available	change	A~B	same	no	
91356:57	"you know, but then when i went, um, for graduate work, you know, or for a new job, people said to me, you know, shippensburg state,"	declarative	not available	nonum	change	change	change	A~B	same	no	
124212:97	"and, and, um, uh, the landscape is much different here in texas than it is, you know, in the north. um, or even where you are."	declarative	not available	nonum	nochange	nochange	change	A~B	different	no	
35369:98	"well, we've, uh, we've, we've test driven the oldsmobile delta eighty-eight and a cutlass supreme and a used cadillac, A-Bout three or four years old because, uh, i get married in a couple of weeks"	declarative	not available	num	change	not available	change	A~B	same	no	
151803:31	"and during the summer we camp, uh, two or three weeks a year."	declarative	not available	num	change	not available	change	A~B	same	no	
111953:18	and i'll order steak or steak and lobster combined	declarative	not available	nonum	change	change	change	A>B	same	no	
126305:39	"i'm, i'm usually in the eighties or nineties"	declarative	not available	num	change	not available	change	A~B	same	no	
48899:163	"you know, that's, that's no kind of deterrent because we, we've got literally hundreds of people on death row, and, and many of them who have been there for literally for ten or fifteen years on death row,"	declarative	not available	num	change	not available	change	A~B	same	no	
122265:57	"and, and when you're on a conversation instead of walking off or just making themselves busy, they'll stand there and listen to what you say until you hang up."	declarative	not available	nonum	change	nochange	change	A~B	different	no	
75447:58	"and they have a little display screen that shows you a message and either tells you a person or a, a phone number to respond to"	declarative	not available	nonum	change	change	change	A~B	same	no	
98968:82	"and, uh, many matters are so complicated that it's so hard to, uh, come up with the fair value, uh, or the fair sentence"	declarative	not available	nonum	change	nochange	nochange	A<B	same	no	
100501:68	and so often they think they're adequately caring for themselves when they're really not eating very much or very balanced meals.	declarative	negation	nonum	change	nochange	change	A~B	same	no	
104373:17	"and you got a nickel or dime, which in that time was a lot of money, when you returned them."	declarative	not available	nonum	change	not available	change	A~B	same	no	
116923:70	"and, if you see a situation that looks like it could be trouble, just get out of it or call for help, whichever."	imperative	not available	nonum	change	nochange	change	A~B	same	no	
162817:63	"i, i know a lot of people around here sometimes have, like, mothers or grandmothers that take care of their kids"	declarative	not available	nonum	nochange	nochange	change	A~B	same	no	
126265:70	"well, it, it, it usually takes me A-Bout probA-Bly two, two or three to get it there"	declarative	not available	nonum	change	not available	change	A~B	same	no	
96679:72	"so, i was in a lot of classes where, uh, there, i was either the only girl or, you know, one of just a very, few women in the class."	declarative	not available	nonum	change	not available	change	A>B	different	no	
136335:21	did you put them up originally or just going up and stopping leaks in them.	interrogative	not available	nonum	change	nochange	change	A~B	different	no	
144355:73	"uh, when they asked us did, did we want to, uh, keep it the same or, uh, spend more, spend less, i think uh, i think right now what they're spending is adequate. uh, my, for my personal opinion. uh, because i think it's something that's going to take them a while to come up with a, uh, vaccine for."	declarative	not available	nonum	change	not available	change	A~B	same	no	
73690:19	i didn't want a brother or sister.	declarative	negation	nonum	change	not available	change	A~B	same	no	
67487:36	"if you live around the dallas area, you got five or six every weekend to choose from. because they're really into it."	declarative	not available	num	change	not available	change	A~B	same	no	
147927:43	"um, do you go to the operas that they sing english or go to the ones that they sing other languages."	interrogative	relclause	nonum	change	nochange	change	A~B	different	no	
65406:20	i must have like fifty or sixty books by him.	declarative	not available	num	change	not available	change	A~B	same	no	
113961:67	"and the federal came in and said, hey, you know, you have either got to build more prisons or let people go."	declarative	not available	nonum	change	change	change	A~B	different	no	
25593:28	"if you want to play tennis, or racquetball,"	declarative	not available	nonum	change	change	change	A~B	same	no	
104521:21	"and it naturally, uh, composts or stores"	declarative	not available	nonum	change	nochange	change	A~B	same	no	
48229:108	"well, on a scale of one to ten, uh, being ten, no, kind of legislation and zero being, uh, total ban, i probA-Bly would lean more towards six or seven."	declarative	not available	num	change	not available	change	A~B	same	no	
145722:85	"i didn't, you know, i, i didn't even know their names, some of the two or three generations back and some of the aunts and uncles"	declarative	negation	num	change	not available	change	A~B	same	no	
78150:40	"and uh, you could always catch a good news program at eight o'clock or nine o'clock on c n n."	declarative	not available	num	nochange	nochange	change	A~B	same	no	
112163:28	"unless they're caught in the act or the-, the-, the child is very badly, you know, beaten up, it comes down to a one word against the other that type thing."	declarative	not available	nonum	change	nochange	change	A~B	different	no	
23488:144	"you know, kind of mumblex off what we've been talking A-Bout here, uh, i believe that our, we've become almost a litigious society where we, everyone is very quick to sue or to threaten to sue and that kind of stuff,"	declarative	wh	nonum	nochange	change	nochange	A>B	same	no	
151366:42	"and, i mean, i'm not speaking in favor of drugs or against drugs,"	declarative	negation	nonum	change	not available	change	A~B	same	no	
105474:35	"nowadays i don't think i could afford the boat or the time,"	declarative	negation	nonum	nochange	not available	change	A~B	different	no	
73492:77	"and, and, you know, multiplied by the fact that you don't really trust the person or you're uncomfortA-Ble with the situation mumblex, as far as child care, um,"	declarative	relclause	nonum	nochange	nochange	change	A~B	same	no	
119232:80	"i'm not, you know, i have a problem, uh, with whether it's going to work or not, you know,"	declarative	wh	nonum	change	not available	change	A~B	different	yes	
1265:65	"i should have, i guess i should make another one that says religious or otherwise, cause i still get,"	declarative	relclause	nonum	change	not available	change	A~B	same	no	
105689:35	and it depends where he's going whether or not i decide to go along	declarative	wh	nonum	change	not available	change	A~B	different	yes	
35550:65	"well, what you can do is take your car payment and put it in the bank for three or four years"	declarative	not available	num	change	not available	change	A~B	same	no	
17859:69	"but then i'll get tired of doing that, and maybe start jogging again and go out A-Bout three or four nights a week."	declarative	not available	num	change	not available	change	A~B	same	no	
34082:72	"i do too. uh, because it doesn't make any difference, uh, uh, whether it's a pistol or a shotgun, i suppose."	declarative	wh	nonum	change	change	change	A~B	same	no	
136821:73	"you wonder if they're, it's really worth it to pay, uh, thirty-five dollars or forty dollars just to get in."	declarative	wh	num	change	not available	change	A~B	same	no	
18802:68	"and the garbage men come by and, uh, collect them and leave us new bags when ours get old and ratty or leave the ones if they're still in good shape."	declarative	not available	nonum	nochange	nochange	change	A~B	same	no	
137818:79	"we had this group of, uh, surveyors come into, uh, a shop i was working in, uh, four or five of them,"	declarative	not available	num	change	not available	change	A~B	same	no	
128768:129	"and, uh, i guess they'd have to consider how expensive the college is and how close to home, if they could handlee being away for real long periods of time or if they need to be somewhere where they can drive home when they needed to get homeb."	declarative	wh	nonum	change	not available	change	A~B	same	no	
146522:172	"i, i believe, if i, am in a position, uh, like when my mother gets to a point where she needs special care that i will be A-Ble to just bring her into my home and my father also, and uh, or have someone go into their home, you know and uh, and look after them."	declarative	relclause	nonum	nochange	change	change	A~B	same	no	
50077:84	"so it's, um, real easy access from, from south of baltimore like, um, like the airport or more importantly for the orioles from washington d c."	declarative	not available	nonum	change	nochange	nochange	A~B	same	no	
52016:33	"i haven't been to a movie theater in probA-Bly eight or nine months,"	declarative	not available	num	change	not available	change	A~B	same	no	
3053:66	"i'm sure you have a representative somewhere in the area. if just nothing more than a business representative or government services representative,"	declarative	not available	nonum	change	change	change	A~B	same	no	
126099:53	"and if you try to take anybody, you know, go to the show or go out for supper, and you go as a foursome,"	declarative	not available	nonum	change	nochange	change	A~B	different	no	
171205:49	"so you think if, if trials were held by judges or experts, that they, they would tend not to, uh, admit, not to convict people on circumstantial evidence."	interrogative	wh	nonum	nochange	nochange	change	A>B	same	no	
52123:56	"now, i, i also liked, uh, oh, gone with the wind or some of the classic, like the lawrence of arA-Bia."	declarative	not available	nonum	nochange	nochange	change	A>B	same	no	
149535:62	"i mean, you know, in retrospect, um, was it, was it mondale or dukakis that said, you know, i'll, i'll tell you right now i'm going to raise taxes."	interrogative	wh	nonum	change	change	change	A~B	different	no	
140815:62	"you know, maybe you nee-, you can get it signed up this spring or summer for some of the dog obedience classes."	declarative	not available	nonum	change	change	change	A~B	same	no	
117171:43	"well, i don't know if we've talked our full three minutes or not."	declarative	wh	nonum	change	not available	change	A~B	different	yes	
173701:143	"so you're saying that the taxpayer who also is really paying through the pocketbook for the education of the child may not be quite so conscious of the fact that they are paying the tuition for that child in the form of, uh, real estate or other taxes"	declarative	relclause	nonum	change	not available	nochange	A~B	different	no	
156117:69	"i mean, it, it definitely it's not at a level comparA-Ble to los angeles or denver"	declarative	negation	nonum	nochange	nochange	change	A~B	same	no	
107053:97	"and then at the end of the, of the period, pay period, if she has any left, that much is for fun or entertainment."	declarative	not available	nonum	nochange	nochange	change	A~B	same	no	
119921:34	"i don't know if they're making them better or not,"	declarative	wh	nonum	change	not available	change	A~B	different	yes	
166963:23	"and whe-, whether or not you agree with that law, i-, you're still circumventing it."	declarative	wh	nonum	change	not available	change	A~B	different	yes	
12588:15	they could either fight or die.	declarative	not available	nonum	change	change	change	A~B	different	no	
75373:37	"and now everybody, uh, has v c r --s and two or three v c r --s and that kind of thing."	declarative	not available	num	change	not available	change	A~B	same	no	
39593:60	"we might try to, to, um, to grill some flounder or salmon steaks."	declarative	not available	nonum	change	nochange	change	A~B	same	no	
90246:38	"and, you know, it does not have a real story, or any plot,"	declarative	negation	nonum	change	change	nochange	A>B	same	no	
