TGrepID	EntireSentence	context	BestResponse
28170:152	because if he saw mom doing only that you know, all the time he was growing up then it's hard to think of it in that, other, uh, that i should do it or just to think about doing it rather than having someone tell him to do it.	###Well , \[ it , \+ it 's \] his job too . E_S ###And I , E_S ###to me the only important issue is the children , E_S ###because as far as housework goes , you know , men can do housework just as easily as women , E_S ###and thanks to a lot of new inventions , housework does n't take as much time as it used -N406182 to -NONE- . E_S ###So , uh , E_S ###SpeakerA86*t86 . ###It 's just -NONE- convincing your husband \[ that that 's important , \+ or that it 's important \] enough for him to do it . E_S ###SpeakerB87*t87 . ###Yeah E_S ###conv- , E_S ###yeah , E_S ###just , E_S ###yeah , E_S ###con , E_S ###SpeakerA88*t87 . ###SpeakerB89*t89 . ###Yeah , E_S ###well . E_S ###SpeakerA90*t90 . 	because if he saw mom doing only that you know, all the time he was growing up  then it 's hard to think of it in that, other, uh, that i should do it or just to think about doing it rather than having someone tell him to do it but not both.
139490:160	now i've done it with, where you put, you cook the ri-, well, i guess you probably could do it same way, but cook the rice and then take a can of like cream of mushroom soup or cream of chicken soup, and put a little bit of white wine in it.	###\[ and , \+ and \] you put the chicken in , then pour the , uh , broth over E_S ###and you can put mushrooms in if you want -NONE- , E_S ###and then you just . E_S ###SpeakerB77*t77 . ###Over the uncooked rice . E_S ###SpeakerA78*t78 . ###Yeah , E_S ###over uncooked rice E_S ###SpeakerB79*t79 . ###Oh . E_S ###SpeakerA80*t80 . ###and you can either microwave it or do it in the oven , E_S ###and it just . E_S ###SpeakerB81*t81 . ###Oh , how neat . E_S ###SpeakerA82*t82 . ###It fluffs up , E_S ###and it 's really moist . E_S ###SpeakerB83*t83 . ###Huh . E_S 	now i've done it with, where you put, you cook the ri-, well, i guess you probably could do it same way, but cook the rice and then take a can of like cream of mushroom soup or cream of chicken soup but not both, and put a little bit of white wine in it .
96875:30	i do not know if he was a general or, you know, what his rank was,	###uh-huh . E_S ###SpeakerA129*t129 . ###And the only , uh , branch in the armed \[ fo- , \+ services \] that -N404CE3 seems willing -N404CF2 to do that is the Air Force . E_S ###And , uh , I spoke because women were \[ filing , \+ flying \] missions \[ into , \+ you know , for whatever reason , into , \] \+ uh , in \] the Persian Gulf war . E_S ###SpeakerB130*t130 . ###Huh . E_S ###SpeakerA131*t130 . ###SpeakerB132*t132 . ###Yeah , E_S ###yeah . E_S ###SpeakerA133*t133 . ###\[ And so . \+ But \] I know -NONE- some of the other services do not think that women are capable of -N405083 doing the job . E_S ###SpeakerB134*t133 . ###SpeakerA135*t135 . ###It was real interesting , E_S ###\[ they were . \+ I was \] listening to some of the comments on \[ ra- , \+ television -N405219 \] the other day , uh , about it , E_S ###SpeakerB136*t136 . ###Uh-huh . E_S ###SpeakerA137*t137 . ###and , uh , \[ one of , \+ one of \] the men who -N40539F was a , E_S 	i do not know if he was a general or, you know, what his rank was but not both ,
77037:37	i, i've only talked to one or two	###\[ I have n't , \+ I have n't \] talked to a Tina yet . E_S ###SpeakerB86*t86 . ###Yeah . E_S ###SpeakerA87*t86 . ###SpeakerB88*t88 . ###Uh-huh . E_S ###W- , E_S ###uh , \[ the , \+ the \] call was probably for her . E_S ###They would n't accept my , uh , T I N number , E_S ###so we put hers in . E_S ###But , uh , uh , like I said , we 're \[ getting , \+ getting \] the kids ready -N402AFE to go to the birthday party , E_S ###SpeakerA89*t89 . ###Yeah . E_S ###SpeakerB90*t90 . ###so . E_S ###SpeakerA91*t91 . ###Yeah . E_S ###SpeakerB92*t92 . ###But , uh , some of , E_S ###yeah , E_S 	i, i've only talked to one or two but not both.
10220:22	that, you know, may or may not happen.	###that 's right . E_S ###SpeakerA76*t76 . ###There is not ever a in between for him . E_S ###SpeakerB77*t77 . ###That 's right , E_S ###it 's kind of like Babe Ruth . E_S ###SpeakerA78*t78 . ###Uh-huh , E_S ###yeah . E_S ###SpeakerB79*t79 . ###Yeah , E_S ###they were saying something about -NONE- this may be his last year with the Rangers though . E_S ###Apparently I think -NONE- his contract is up after the end of this year E_S ###and they 're not sure -NONE- they 're going -N403963 to be able -N403976 to sign him again . E_S ###SpeakerA80*t80 . ###-NONE- To sign him again , E_S ###yeah . E_S ###Huh . E_S ###SpeakerB81*t81 . ###Yeah , E_S 	that, you know, may or may not happen but not both.
85007:68	i mean, people that may have been close to the edge just go over because they see something or read something.	###Uh-huh . E_S ###SpeakerB175*t175 . ###But , you know , you just hear about \[ that , \+ that , \] you know , E_S ###SpeakerA176*t176 . ###Uh-huh . E_S ###SpeakerB177*t177 . ###it is a lot of repeat crime . E_S ###And you are like , why are they repeating -N40A3EC . E_S ###They should have been in there longer . E_S ###Or , E_S ###SpeakerA178*t178 . ###I know . E_S ###And then you think , E_S ###I mean , \[ I ha- , \+ I mean , I can remember , E_S ###I have \] not been out of school that long , E_S ###but it has been at least ten years . E_S ###And you think to yourself , was it that bad back then . E_S ###Or is it just , E_S ###I think that , like you said , television . E_S ###Is it just that more people think -NONE- there is like excitement in it , you know . E_S 	i mean, people that  may have been close to the edge just go over because they see something or read something but not both.
65406:20	i must have like fifty or sixty books by him.	###SpeakerA35*t35 . ###Yeah . E_S ###SpeakerB36*t36 . ###When I find an author -NONE- I really like -N402951 -N402958 , I try -N40296B to read everything -NONE- they write -N40298A . Because \[ you , \+ you \] get used to their style and you really enjoy it . E_S ###SpeakerA37*t37 . ###Yeah . E_S ###That , and E_S ###\[ I , \+ I \] do the same thing . E_S ###I , E_S ###SpeakerB38*t37 . ###SpeakerA39*t39 . ###Yeah . E_S ###Uh , there 's one science fiction writer named -NONE- , uh , Allen Dean Foster . E_S ###SpeakerB40*t40 . ###Uh-huh . E_S ###I 've heard of him . E_S ###SpeakerA41*t41 . ###Oh , okay , E_S ###yeah . E_S ###He , um , E_S 	i must have like fifty or sixty books by him but not both.
73690:19	i didn't want a brother or sister.	###As I said , I do n't have kids E_S ###and I 'm an only child E_S ###so I 've never been around children . E_S ###So , uh , I 'm sort of at a loss where that 's concerned -N406B00 -N406B07 . E_S ###But I do hear my friends talk about it . E_S ###SpeakerB130*t130 . ###\[ We , \+ we 're \] having such fun , E_S ###my wife and I were both only children . E_S ###SpeakerA131*t131 . ###Huh-uh . E_S ###SpeakerB132*t132 . ###And we just could n't wait -N406D48 to have two children so they would be such friends . E_S ###SpeakerA133*t133 . ###Yeah . E_S ###SpeakerB134*t134 . ###Wrong . E_S ###SpeakerA135*t135 . ###That 's like World War Three every minute . E_S ###I do n't know E_S ###\[ I , \+ I , \] \+ I \] have -N406F1E to admit , -NONE- I was \[ self- , \+ selfish \] as a child . E_S 	i didn't want a brother or sister but not both.
33856:25	i try to go real late or real early before they get there.	###Uh-huh . E_S ###SpeakerA119*t119 . ###I said , uh , why do I feel like I need -N4065AC to start -N4065BB pushing myself more -N4065CE . E_S ###And he goes , human nature . E_S ###SpeakerB120*t119 . ###SpeakerA121*t121 . ###And then , you know , you see these little girls in these little bitty things , E_S ###and they 're all like twenty-one years of age . E_S ###SpeakerB122*t122 . ###Uh-huh . E_S ###SpeakerA123*t123 . ###But luckily at MUMBLEx there 's a little more diverse clientele . E_S ###SpeakerB124*t124 . ###That 's true , E_S ###they do . E_S ###SpeakerA125*t125 . ###Except for the guys that -N406963 lift the weights . E_S ###They do intimidate . E_S ###SpeakerB126*t126 . ###Yeah . E_S 	i try  to go real late or real early before they get there but not both.
171201:237	but a lot of time i-, a lot of cases, uh, is circumstantial evidence that, that convicts a person, which i don't think is all the time good. because sometimes it's hard to get all the facts and to prove a person innocent, i mean prove a person guilty if you don't really know or you don't really have an eyewitness.	###it 's just \[ very , \+ very \] different E_S ###and I guess -NONE- every ten years it 's just been very different . E_S ###SpeakerB56*t56 . ###Yeah . E_S ###SpeakerA57*t57 . ###So . And I do n't know what -N403D7B 's going -N403D8A to happen . E_S ###Uh , I know -NONE- what I 'm seeing -N403E4E here at \[ m- , \+ my \] job is that people are having their children much later in life so that they 're establishing careers E_S ###SpeakerB58*t58 . ###Yeah , E_S ###tha- , E_S ###SpeakerA59*t59 . ###and they 've got their homes E_S ###and they 've got , E_S ###SpeakerB60*t59 . ###SpeakerA1*t1 . ###Why do n't you go ahead and start -N400032 . E_S ###SpeakerB2*t2 . ###Okay . E_S ###Well I think -NONE- the court systems could stand some improvement . E_S ###Uh , trial by jury is good E_S 	but a lot of time i-, a lot of cases, uh, is circumstantial evidence that, that  convicts a person, which i don't think  is all the time good. because sometimes it 's hard to get all the facts and to prove a person innocent, i mean prove a person guilty if you don't really know or you don't really have an eyewitness but not both.
39859:31	so, they made it to the sweet sixteen, once or twice, in their history,	###Yeah , E_S ###yeah . E_S ###You see them in football on T V once in awhile . E_S ###SpeakerA9*t9 . ###Yeah . E_S ###SpeakerB10*t10 . ###You never see them \[ on a , \+ on \] nationally basketball . E_S ###SpeakerA11*t11 . ###You know , that 's true . E_S ###I do n't think -NONE- I 've ever seen them nationally on basketball . E_S ###SpeakerB12*t12 . ###\[ They , \+ uh , last year they \] had a really good team , E_S ###MUMBLEx the year that Danny Aines was there -N4008E4 . E_S ###SpeakerA13*t13 . ###Uh-huh . E_S ###SpeakerB14*t14 . ###That was about five , six years ago by now . E_S ###SpeakerA15*t15 . ###Huh . E_S ###SpeakerB16*t16 . 	so, they made it to the sweet sixteen, once or twice but not both, in their history,
20453:61	and it will, if have you a thirty year note, it will take like seven or plus years off of your note.	###if you pay , E_S ###I know -NONE- I get paid -N404DF2 twice a month , every two weeks , E_S ###SpeakerB84*t84 . ###Huh-uh . E_S ###SpeakerA85*t85 . ###that 's once a month . E_S ###SpeakerB86*t86 . ###Huh-uh . E_S ###SpeakerA87*t87 . ###Well , I get twenty six paychecks , which -N404F3A would come out -N404F4D to be in thirteen months . E_S ###SpeakerB88*t88 . ###That 's right . E_S ###SpeakerA89*t89 . ###So if you pay your rent or your house payment every two weeks , Instead of once a month , you 'll come out -N4050BA paying \[ a , \+ \] uh , one month extra every year . E_S ###SpeakerB90*t90 . ###Huh-uh . E_S ###SpeakerA91*t90 . ###SpeakerB92*t92 . ###That 's right . E_S ###SpeakerA93*t93 . 	and it will, if have you a thirty year note, it will take like seven or plus years off of your note but not both.
91686:57	when if, if i have long periods of time, like christmas vacation, or, you know, when i know i'm not going to be doing anything for a while, um,	###SpeakerA103*t103 . ###Right E_S ###I would n't be , surprised , E_S ###SpeakerB104*t104 . ###I 'm just going -N40424E to have -N40425D to put it , in the car sometimes and listen to it . E_S ###SpeakerA105*t105 . ###yeah . E_S ###SpeakerB106*t105 . ###SpeakerA107*t107 . ###Sure . E_S ###Oh , yeah . E_S ###SpeakerB108*t108 . ###But , um , E_S ###SpeakerA109*t109 . ###Well , I read that , E_S ###and then I 'm trying -N404457 to think , E_S ###um , usually I try -N4044D6 \[ to , \+ to \] find something long that , I 'm going -N404509 to , E_S ###SpeakerB110*t110 . ###Uh-huh . E_S ###SpeakerA111*t111 . 	when if, if i have long periods of time, like christmas vacation, or, you know, when i know i'm not going  to be doing anything for a while , um but not both,
153451:44	i guess i kind of do a similar thing. more, uh, medium or longer range.	###SpeakerA17*t17 . ###Uh-huh . E_S ###SpeakerB18*t18 . ###I 've got a money market account that I do a lot of uh , uh , saving in -N401C97 E_S ###and I also have got a checking account besides that , E_S ###but , what I do -N401DE9 on my money market account , my taxes for instance which -N401E1C amount to an average of two hundred and twenty dollars a month . I will just take two hundred and twenty out E_S ###and I put it in parenthesis . E_S ###I take it out of the right line total and put it in parenthesis in there and let it build up . E_S ###SpeakerA19*t19 . ###Uh-huh . E_S ###SpeakerB20*t20 . ###Every month I add two hundred and twenty dollars to it . E_S ###Then when the tax bill comes in -N4021EC I 've got that much set -N40220B aside . E_S ###SpeakerA21*t21 . ###Right . E_S ###SpeakerB22*t22 . ###And I guess -NONE- that 's a way of budgeting . E_S ###SpeakerA23*t23 . ###Yeah . E_S ###That 's , E_S 	i guess i kind of do a similar thing. more, uh, medium or longer range but not both.
138255:100	well and with a radial arm saw, if you do have a, a big piece of wood that you need to rip, like you say, or cutd, you wouldn't be ablec to do that.	###And \[ I , \+ I \] debate whether it -N4027F8 's better -NONE- to get \[ a , \+ uh , just a \] straight table saw or to get one of these , uh , rotary arm saws . E_S ###SpeakerA43*t43 . ###Oh . E_S ###SpeakerB44*t44 . ###Radial arm saw is , I guess -NONE- -N4029F2 , what they 're called -N402A0D -N402A14 . E_S ###SpeakerA45*t45 . ###Uh-huh . E_S ###SpeakerB46*t46 . ###Uh , it \[ t- , \+ seems to \] me -NONE- the radial arm saw \[ is , \+ is \] better , E_S ###well , \[ it , \+ it \] takes up less room . E_S ###SpeakerA47*t47 . ###Yeah . E_S ###SpeakerB48*t48 . ###I mean , \[ you , \+ you \] set the wood down E_S ###and you move the saw . E_S ###SpeakerA49*t49 . ###Yeah . E_S ###SpeakerB50*t50 . ###Whereas if you 're ripping wood , you 're probably better off with \[ a , \+ a \] table saw . E_S ###SpeakerA51*t51 . 	well and with a radial arm saw, if you do have a, a big piece of wood that you need  to rip, like you say, or cut but not both , you wouldn't be able  to do that.
34204:16	it was about four or five years ago.	###SpeakerB72*t72 . ###\[ He could , \+ he could \] not only , uh , uh , shoot himself . E_S ###\[ He could , \+ he could , \] uh , mishandle a weapon . Leave it at home and let a child get at it . E_S ###SpeakerA73*t73 . ###It , E_S ###well \[ we , \+ uh , we \] was living on a navy base down in Memphis E_S ###and , uh , this one guy decided -N4053AD to play , uh , lonesome cowboy or something . E_S ###And he was twirling his gun around and shot himself in his foot . E_S ###SpeakerB74*t74 . ###Wow . E_S ###He was fortunate . E_S ###\[ He could , \+ he could \] of hit something else . E_S ###SpeakerA75*t75 . ###Well , he went -N405626 tumbling down the steps along with , uh , -N405651 shooting his foot almost off . E_S ###He broke his leg and collar bone and a couple of other things I 'm sure , -N405765 being , Mister Cowboy . E_S ###SpeakerB76*t76 . ###Wow . E_S ###SpeakerA77*t76 . ###SpeakerA79*t79 . ###I ca n't remember what \[ the na- , \+ the term -N40588B \] was -N405896 going around . E_S 	it was about four or five years ago but not both.
99525:67	and so they suggested that i might want a smaller school because i was used to a lot of one-on-one uh, or small group situations.	###and they lived in the dorms . E_S ###And I thought -NONE- this would expose both of them to what it 's , you know , like -N40148D on a coll- , \+ a smaller college \] campus . E_S ###And , uh , my oldest one just was n't impressed -N401604 at all with the idea of a small school . E_S ###So , uh , \[ I , \+ I , \] \+ I \] still think -NONE- the exposure was good . E_S ###SpeakerA32*t32 . ###Yes . E_S ###SpeakerB33*t33 . ###The reason -NONE- I ask if you went to college -N40181E is -NONE- I thought , well , you know , E_S ###what were your selection criteria -N401940 . E_S ###Did you base it on what you wanted -N4019A4 to major in -N4019B7 or what you would feel comfortable with -N4019DA or what you could afford -N4019F5 E_S ###or , you know , there 's all of these areas -NONE- -NONE- to look at -N401B59 in -NONE- making the decision . E_S ###SpeakerA34*t34 . ###Uh-huh . E_S ###\[ Those , \+ and those \] were several , uh , that we did consider -N401CA7 . E_S ###Uh , my parents , uh , certainly did n't push but wanted me to look in the south E_S ###and because I had been in a small school , they suggested that \[ I \+ probably , I , \] E_S ###when I say small -N401F52 , my graduating class had eighteen in it . E_S ###SpeakerB35*t35 . ###Oh , wow . E_S ###SpeakerA36*t36 . 	and so they suggested that i might want a smaller school because i was used to a lot of one-on-one uh, or small group situations but not both.
106986:61	and we intend to replace our other one with a much newer car in the next couple of years, or next year probably.	###you have two cars the same , E_S ###SpeakerB44*t43 . ###SpeakerA45*t45 . ###and I said , you know how when you have a bad one -N4030DA , you say , never again -N4030F9 E_S ###SpeakerB46*t46 . ###That 's right . E_S ###SpeakerA47*t47 . ###I said , well , we had one , E_S ###and we found one with just seventeen thousand miles on it E_S ###SpeakerB48*t48 . ###Wow . E_S ###SpeakerA49*t49 . ###and it 's an eighty-five , E_S ###and so I said , Hey , this was a cinch , E_S ###we paid for the car , E_S ###and we still know now that we have this car -NONE- -NONE- to put all the miles on -N403492 . E_S ###SpeakerB50*t50 . ###Right . E_S ###SpeakerA51*t51 . ###This is for all the long running back and forth on , you know interstate driving and things , E_S 	and we intend  to replace our other one with a much newer car in the next couple of years, or next year probably but not both.
160448:28	i just catch the major ones off the news or if someone starts to talk about it.	###-NONE- Kind of radical , I know -NONE- -N404A9B E_S ###but , E_S ###SpeakerA133*t132 . ###SpeakerA135*t135 . ###We would no longer need paper at all . E_S ###SpeakerB136*t136 . ###That 's true . E_S ###SpeakerA137*t136 . ###SpeakerB138*t138 . ###Everyone had a two way wrist watch T V -s on their wrist , like , uh , Dick Tracy . E_S ###SpeakerA139*t138 . ###SpeakerA141*t141 . ###I would love that . E_S ###SpeakerB142*t141 . ###SpeakerA1*t1 . ###Hi . E_S ###So , do you think -NONE- you get good coverage from the sources that you have -N40006C . E_S ###SpeakerB2*t2 . ###Uh , actually no , E_S ###\[ because , \+ because \] I 'm in school . \[ I , \+ I \] kind of miss out on most of the current events . E_S 	i just catch the major ones off the news or if someone starts  to talk about it but not both.
164419:42	huh. do you think they should be punished at all, or, uh, like go to prison, uh,	###but , I tend -N401513 to agree with you that , uh , we should have it . E_S ###\[ I just , \+ I \] do n't know that it 's always effective , E_S ###but I guess -NONE- \[ we , \+ uh , we 're \] kind of stuck with it . E_S ###\[ It 's , \+ it -N4017AF 's \] a difficult , uh , problem , is n't it -NONE- , -NONE- to determine how you 're going -N401806 to punish somebody for a particular crime -N401829 , uh , E_S ###SpeakerB30*t30 . ###But , then , you know , I think \[ that , \+ that \] some murderers do n't really warrant capital punishment . You know , \[ just , \+ \] like , for example , uh , you know , you hear about cases where women have killed their husbands who -N401A60 abused them -N401A6F E_S ###SpeakerA31*t31 . ###Uh-huh . E_S ###SpeakerB32*t31 . ###SpeakerA35*t35 . ###Uh-huh . E_S ###SpeakerB36*t35 . ###SpeakerA37*t37 . ###Right , E_S ###uh-huh . E_S ###SpeakerB38*t38 . ###and I do n't think , -NONE- that would really warrant capital punishment . E_S ###SpeakerA39*t38 . ###SpeakerA41*t41 . ###Uh-huh , E_S 	huh. do you think they should be punished  at all, or, uh, like go to prison, uh but not both,
