TGrepID	EntireSentence	context	BestResponse
30887:42	you know they're usually not, not that great or didn't do that great anyway.	###and he starts out by -N4023B7 fighting -N4023C2 to make money , E_S ###and then he moves on to L A to \[ where that , \+ where she \] is -N40248D -N402494 to just help him out . E_S ###SpeakerB42*t42 . ###Uh-huh . E_S ###SpeakerA43*t43 . ###\[ It was really , \+ I mean the Hollywood really must \] think -NONE- there 's some real dummies out there or something . E_S ###I do n't know . E_S ###SpeakerB44*t44 . ###Yeah , E_S ###\[ I have n't heard , \+ I had n't heard \] much about that movie . E_S ###I , E_S ###other than -NONE- it was a -NONE- chop them up movie . E_S ###But , uh , well , I guess -NONE- that 's one -NONE- I wo n't go -N402950 see -N40295B . E_S ###SpeakerA45*t45 . ###Well , it was worth the buck I guess -NONE- -N402A51 . E_S ###SpeakerB46*t46 . ###Oh , you went to the dollar movie . E_S ###Yeah . E_S ###Yeah , E_S ###they show up at the dollar movie right after they \[ get , \+ come \] out . E_S 	you know they're usually not, not that great or didn't do that great anyway but not both.
7017:103	well the, the other thing some people are not aware of, is they will use their a, their credit card like their visa or their mastercard for cash	###but , uh , I take the checkbook E_S ###so \[ I , \+ you know , I , \] just , \+ if I need cash , I just \] tell him E_S ###and he gets it out E_S ###and I do n't even think -NONE- I know my number . E_S ###SpeakerA40*t40 . ###Well , I find it a great use from the standpoint that you do n't have -N401F19 to continue -N401F28 to write checks , in order -N401F47 to get cash . E_S ###SpeakerB41*t41 . ###Uh-huh . E_S ###SpeakerA42*t41 . ###SpeakerB43*t43 . ###That 's right . E_S ###See \[ we , \+ he \] could n't do without it , \[ h- , \+ \] but , you know , since he can just do it right there at work , for nothing . E_S ###SpeakerA44*t44 . ###Oh , that helps . E_S ###SpeakerB45*t44 . ###SpeakerA46*t46 . ###Right . E_S ###SpeakerB47*t47 . ###Yeah . E_S ###SpeakerA48*t48 . 	well the, the other thing some people are not aware of , is they will use their a, their credit card like their visa or their mastercard for cash but not both.
84644:31	i do not know what the world is or is not.	###I know it . E_S ###How \[ s- , \+ deprived \] could they be -N402ADD if they had a camcorder . E_S ###Those are a thousand bucks . E_S ###SpeakerA54*t54 . ###Yeah . E_S ###Unless they stole it . E_S ###And I mean , that is one big thing down here . E_S ###I mean , they have like , uh , E_S ###and they are not all young . E_S ###I mean , they are eighteen to twenty-four , some of the young men and women . E_S ###But , I mean , \[ you can , \+ you can \] see the Crime Stoppers ads on television . E_S ###And they are , E_S ###sometimes it is the same people \[ that -N402FC6 have been , \+ that -N402FDD have been \] observed -N402FF0 E_S ###and they still ca n't catch them . E_S ###SpeakerB55*t55 . ###Yeah . E_S ###SpeakerA56*t56 . ###And you are wondering how , you know . Um , we lived in Minneapolis and Wisconsin -N403183 . E_S ###I mean , there was all kind of , E_S ###\[ I , \+ I , know , \] \+ I , \] \+ I , \] \+ I know \] -NONE- it is getting worse . E_S 	i do not know what the world is  or is not but not both .
79279:17	so i was only fifteen or sixteen,	###I thought -NONE- he was great . E_S ###SpeakerA177*t177 . ###I thought -NONE- Carter was good too , E_S ###and that was , E_S ###yeah , E_S ###SpeakerB178*t178 . ###Did you . E_S ###I always liked him , E_S ###I thought -NONE- he was great at the time E_S ###and \[ I , \+ I \] just could n't get over the fact that Reagan beat him . E_S ###\[ I , \+ you know , that I \] just could n't believe that he got voted -N408D78 out . E_S ###SpeakerA179*t179 . ###But , I think -NONE- I was n't , E_S ###well -NONE- let 's see , E_S ###that 's been about ten years ago , right . E_S ###SpeakerB180*t180 . ###Uh-huh , E_S ###yeah . E_S ###SpeakerA181*t181 . ###Okay , E_S 	so i was only fifteen or sixteen but not both,
766:47	and whether it, whether it won all kinds of awards or whether it just was okay at the box office, i think he would have been happy.	###You listen to him E_S ###and then \[ you , \+ you \] go -N402EC1 watch the movie . E_S ###In fact , \[ they had , \+ people had \] just seen , E_S ###I was listening Sunday night a little bit when , I was going -N40303E to pick up my daughter -N403059 . E_S ###SpeakerB48*t48 . ###Uh-huh . E_S ###SpeakerA49*t49 . ###But , anyway , it was , uh , the , E_S ###\[ it , \+ it 's \] interesting , though , E_S ###\[ the , \+ the \] difficulty \[ with , \+ with \] DANCING WITH WOLVES is that when you make a movie like that -N403297 , and you produce it -N4032B2 , and then you star in it -N4032D5 , uh , the question is , \[ did he , \+ did he \] really know -NONE- it was going -N403324 to be good E_S ###or did he just do it . E_S ###SpeakerB50*t50 . ###\[ I think that , \+ I think \] -NONE- he really , E_S ###his heart was in it , E_S ###but \[ I , \+ I \] do n't think -NONE- he really knew -NONE- it was going -N40371E to be as big as it was -NONE- . E_S ###I think -NONE- it was something that he really wanted -N40387F to do -N40388E . E_S ###He wanted -N40394C to direct it , E_S ###he wanted -N4039B6 \[ to , \+ to \] star in it . E_S ###You know , \[ he , \+ he \] enjoyed the story line E_S ###and I think -NONE- \[ he just really w- , \+ he really wanted \] it . E_S 	and whether it, whether it won all kinds of awards or whether it just was okay at the box office but not both, i think he would have been happy.
13834:72	maybe we'll see a growth in that where someone makes a career out of, say, taking care of five or six children as opposed to day care.	###SpeakerB44*t44 . ###\[ I , \+ I \] do n't think -NONE- I have a philosophical problem with that . E_S ###In fact , I think -NONE- it sort of raises nurturing and -NONE- being a mother to what it ought -N402D1D to be -N402D2C which -N402D37 is a respected profession . E_S ###SpeakerA45*t45 . ###That 's right , E_S ###that 's right . E_S ###SpeakerB46*t46 . ###Uh , \[ I , \+ I \] do n't have \[ a , \+ other \] \[ than , \+ than \] a reading \[ and , \+ and \] male perspective \[ on , \+ on the ver- , \] \+ on the biological \] urges involved relative to -NONE- being a mother or not . E_S ###Uh , \[ I know \[ that , \+ that \] \+ my sense is that \] I have very much an interest -N403220 and had one -N403233 in -N40323E being a parent . E_S ###\[ I , \+ I \] do n't know that I , uh , felt myself necessarily encumbered -N4033CF with the necessity -NONE- to have heirs . E_S ###SpeakerA47*t47 . ###Uh-huh . E_S ###SpeakerB48*t48 . ###Uh , I do n't have boys , E_S ###that \[ does n't , \+ did n't \] bother me , E_S ###-NONE- never has -NONE- . E_S ###-NONE- Vision more women deliberately raising children either in surrogacy \[ or , \+ or \] as a professional \[ nanny , \+ nanny \] as you put it , uh . E_S ###SpeakerA49*t49 . ###Yeah . E_S ###SpeakerB50*t50 . 	maybe we'll see a growth in that where someone makes a career out of, say,  taking care of five or six children but not both as opposed to day care .
72175:60	i'm, i guess i probably put on about ten, nine or ten pounds, since i stoppedb playing, whiche was about four years ago.	###but just I 've never used those machines E_S ###I just use the regular machines and the free weights , you know , like little five pound hand weights and eight pound hand weights . E_S ###SpeakerA141*t141 . ###Yeah . E_S ###SpeakerB142*t142 . ###Just -NONE- to do , you know , some bicep , tricep exercises . E_S ###Sit-ups , of course . E_S ###SpeakerA143*t143 . ###yeah , E_S ###\[ that 's , \+ that 's \] where I 'm really starting -N4077E8 to get noticeable -N4077FB , E_S ###SpeakerB144*t144 . ###Uh-huh . E_S ###SpeakerA145*t145 . ###I 'm just getting real soft in the middle . E_S ###SpeakerB146*t146 . ###Oh , yeah , E_S ###I think -NONE- that 's , uh , number one problem with everyone . E_S ###SpeakerA147*t147 . ###Uh-huh . E_S ###I have n't really started -N407A77 to put on a lot of weight E_S 	i'm, i guess i probably put on about ten, nine or ten pounds but not both, since i stopped  playing, which  was about four years ago.
22409:25	and, uh, i have caught one or two small sharks	###SpeakerA3*t3 . ###Mostly freshwater , E_S ###I E_S ###SpeakerB4*t4 . ###Freshwater , E_S ###SpeakerA5*t5 . ###yeah , E_S ###\[ I , \+ I \] used -N400113 to fish , uh , when I was real young -N400142 , down in Galveston with my parents , E_S ###and I never really got into that too much , because you have -N40028A to get in the boat really -N4002A9 to do anything , E_S ###and I did n't know anybody who -N4003BD had a boat now , E_S ###so I do n't fish too much in saltwater . E_S ###SpeakerB6*t6 . ###Uh-huh . E_S ###Most of my fishing has been in the saltwater . Uh , mostly deep sea fishing for grouper and bottom fish E_S ###SpeakerA7*t7 . ###Oh , really , E_S ###SpeakerB8*t7 . ###SpeakerA9*t9 . ###Oh , neat , E_S ###SpeakerB10*t10 . 	and, uh, i have caught one or two small sharks but not both.
112139:60	and yet, i mean, did you ever in your life when you were little know anybody or hear anything of anything like this.	###Uh-huh . E_S ###SpeakerA35*t34 . ###SpeakerB36*t36 . ###Uh-huh , E_S ###SpeakerA37*t37 . ###I guess , you know , -NONE- a lot of , E_S ###and I was just seeing in the newspaper or the grocery store that some Miss America was abused -N4024C5 by the man -NONE- she loved -N4024E4 E_S ###and , E_S ###SpeakerB38*t38 . ###That 's the new one . E_S ###SpeakerA39*t39 . ###Is that the new , E_S ###I just happened -N402680 to see the headline on it , E_S ###and I \[ did n't , \+ could n't \] realize if it was the husband or the father or what , E_S ###but I thought , uh , you know , -NONE- \[ if these things , \+ if children \] are being abused -N402864 , \[ I , \+ I 'm \] wondering how our school system is failing -N40289B , that they 're not even seeing this , you know , E_S ###if it was that severe that when they 're later in life adults -N402AD1 , that it 's all of a sudden affecting them in this way , that it was n't shown -N402B24 up at all when they were younger -N402B47 , E_S ###and \[ that kind of , \+ that kind of \] worries me with my kids only being under two and not having , you know , -N402D51 \[ to , \+ to \] deal with that yet , E_S ###but still . E_S ###SpeakerB40*t40 . ###Well , \[ you , \+ you 're \] right , uh , E_S 	and yet, i mean, did you ever in your life when you were little  know anybody or hear anything of anything like this but not both.
75373:37	and now everybody, uh, has v c r --s and two or three v c r --s and that kind of thing.	###SpeakerA23*t23 . ###Well , very possibly . E_S ###Uh , I 'm not sure -NONE- in the last ten years it 's been very different from before . E_S ###Uh , certainly in the last thirty I would say -NONE- -N40137D there have been significant changes . \[ Even , \+ even \] the change from black and white to color television . E_S ###SpeakerB24*t24 . ###Yeah . E_S ###SpeakerA25*t25 . ###Thirty years ago I guess -NONE- -N401516 there were color T V -s , E_S ###but I sure did n't have access to one . E_S ###SpeakerB26*t26 . ###Oh . E_S ###SpeakerA27*t27 . ###\[ And , \+ uh , but , \] twenty years ago , practically everybody had a color T V , E_S ###and now I think -NONE- they 're \[ as , \+ almost as \] many , well , E_S ###there are more T V -s than households , E_S ###so it 's close to getting , uh , one T V per person they say -NONE- -N4018AB . E_S ###SpeakerB28*t28 . ###Yeah E_S ###SpeakerA29*t28 . ###SpeakerB30*t30 . 	and now everybody, uh, has v c r --s and two or three v c r --s and that kind of thing but not both.
70127:16	that's the second or third year in a row that we've had a real rainy spring.	###Uh-huh . E_S ###SpeakerA41*t41 . ###and , uh , there were still some paint brushes and bluebonnets down along the way . E_S ###SpeakerB42*t42 . ###Oh , I miss that . E_S ###SpeakerA43*t43 . ###MUMBLEx drove through San Antonio E_S ###and I spoke to somebody else -N401E62 this morning from San Antonio E_S ###and were , E_S ###they had , E_S ###and we came back . E_S ###What day was that -N401F96 , E_S ###Sunday evening , E_S ###and they had a big rainstorm -N40200D come through there , part of the same thing -NONE- we 're getting -N402048 now , I guess . E_S ###SpeakerB44*t44 . ###Oh . Oh , well that 's real nice because I can remember two years ago that -N40219D in about February the hundred degree weather started in San Antonio and just continued . E_S ###At least y'all are getting some rain up in Dallas . E_S ###I 'm glad -N40237A to hear that . E_S ###SpeakerA45*t45 . ###Yeah . E_S 	that's the second or third year in a row but not both that we've had a real rainy spring .
145702:45	and, and they always have, you know, two or three new onesf to adde to the list, you know,	###They just show up at funerals and weddings . E_S ###SpeakerA26*t26 . ###Oh . E_S ###SpeakerB27*t27 . ###It was pretty serious and lot of yelling and all that , E_S ###SpeakerA28*t28 . ###Wow . E_S ###SpeakerB29*t29 . ###but , anyway , my mother 's side we had \[ our , \+ our \] first real reunion that I 've ever gone to -N4020E8 last summer E_S ###and they had people come in from out of town E_S ###and they took some rooms down at a Holiday Inn E_S ###and , uh , they had some activity , E_S ###they had a nice dinner planned -N40235A and all of that stuff E_S ###and people got up and talked about various parts of the family tree E_S ###and , you know , a lot of that sort of thing . E_S ###Since it was the first one that we 'd had -N40255B \[ that , \+ you could do that \] once . E_S ###Now next time -NONE- we have one -N402676 , we 'll have -N40268D to think of something more creative -NONE- -N4026B0 to do -N4026BF . E_S ###SpeakerA30*t30 . ###Well , you know , that 's interesting because one thing that -N4027FC always brings to my , uh , husband 's mother 's side together is , uh , -NONE- they talk about the genealogy of the family tree every time E_S ###and , uh , inevitably everyone is just very interested E_S 	and, and they always have, you know, two or three new ones  to add  to the list, you know but not both,
6625:69	i, i, i guess, in my own, having had the whole three or four minutes to, you know, give it a great deal of thought, you know, um, i, i think i agree with you one hundred percent about it being some sort of voluntary,	###SpeakerA39*t39 . ###You wonder if -NONE- being exposed to that for a while , what percentage of them -N402759 would actually say , Hey , that 's not a bad way -NONE- -NONE- to do it -N4027A4 , E_S ###because from what I understand -N40290D , from some of the guys -NONE- I know -N402938 , you know , crime , uh , is punishable , just almost , uh , instantly and public , E_S ###SpeakerB40*t40 . ###Public hanging . E_S ###SpeakerA41*t41 . ###yeah . E_S ###Public hanging and this sort of thing , you know , E_S ###so you do n't have just a whole lot of , what we consider -N402BCF street crimes . E_S ###SpeakerB42*t42 . ###Yeah . E_S ###SpeakerA43*t42 . ###SpeakerB44*t44 . ###Yeah . E_S ###I 've heard that like in China and stuff , there is virtually no such thing as rape , because if you rape somebody you 'd be murdered -N402D22 , you know , on the , you know , street E_S ###so , E_S ###SpeakerA45*t45 . ###Yeah . E_S ###Well , I guess -NONE- that 's , uh , the price of freedom , I guess , is a little , anyway , E_S ###\[ the , \+ uh , uh , the , \] \+ the \] public service thing again E_S 	i, i, i guess, in my own, having had the whole three or four minutes but not both to, you know, give it a great deal of thought , you know, um, i, i think i agree with you one hundred percent about it being some sort of voluntary,
174455:39	the only commitments that they're interested inb making or even talking aboutd are ones for flash value like, uh, the trip to mars. which is, would, would produce some useful scientific research and so forth,	###SpeakerB46*t46 . ###that makes a lot of sense . E_S ###SpeakerA47*t47 . ###The only problem is , of course , that , uh , that requires significant commitment from people -NONE- to actually decide -NONE- they want -N402B5C to put things like that up there . E_S ###SpeakerB48*t47 . ###SpeakerA49*t49 . ###Uh-huh . E_S ###SpeakerB50*t49 . ###SpeakerA50-1*t50-1 . ###Yeah . E_S ###SpeakerBNaN*t50-1 . ###SpeakerB50-2*t50-2 . ###And they want -N402CEF to do the research E_S ###SpeakerANaN*t50-2 . ###SpeakerA51*t51 . ###and uh , they 're all you know , nor- , E_S ###SpeakerB52*t52 . ###Yeah . E_S ###SpeakerA53*t52 . ###SpeakerB53-1*t53-1 . 	the only commitments that they're interested in  making  or even talking about  are ones for flash value like, uh, the trip to mars. which  is, would, would produce some useful scientific research and so forth but not both,
62903:64	and it kind of has to start from the top and, and go clea-, or from the bottom maybe and go clear up.	###SpeakerA139*t139 . ###Well , they may cost a little more , E_S ###but they do n't have -N407FF8 to take them to the shop every other day . E_S ###SpeakerB140*t140 . ###Yeah , E_S ###I had a Toyota E_S ###and I loved it . E_S ###SpeakerA141*t141 . ###Yeah . E_S ###SpeakerB142*t142 . ###My Toyota did , really well . E_S ###SpeakerA143*t143 . ###\[ It does the , \+ it did a \] good job , E_S ###SpeakerB144*t143 . ###SpeakerA145*t145 . ###so , part of it is that we need -N408264 to develop more \[ of a , \+ of a \] pride \[ in , \+ in , \] uh , the kinds of things -NONE- we do -N4082CF so we make them better . E_S ###SpeakerB146*t146 . ###Good . E_S ###Yeah . E_S ###SpeakerA147*t147 . 	and it kind of has  to start from the top and, and go clea-, or from the bottom maybe and go clear up but not both.
20456:39	my parents, uh, bought a home in san diego about four or five years ago,	###Huh-uh . E_S ###SpeakerA85*t85 . ###that 's once a month . E_S ###SpeakerB86*t86 . ###Huh-uh . E_S ###SpeakerA87*t87 . ###Well , I get twenty six paychecks , which -N404F3A would come out -N404F4D to be in thirteen months . E_S ###SpeakerB88*t88 . ###That 's right . E_S ###SpeakerA89*t89 . ###So if you pay your rent or your house payment every two weeks , Instead of once a month , you 'll come out -N4050BA paying \[ a , \+ \] uh , one month extra every year . E_S ###SpeakerB90*t90 . ###Huh-uh . E_S ###SpeakerA91*t90 . ###SpeakerB92*t92 . ###That 's right . E_S ###SpeakerA93*t93 . ###And \[ it will , \+ if have you a thirty year note , it will \] take like seven or plus years off of your note . E_S ###SpeakerB94*t94 . ###That 's right . E_S 	my parents, uh, bought a home in san diego about four or five but not both years ago,
142177:29	but uh, even my first, uh, eight or nine years of working, i camped almost all of the time because i was in construction.	###SpeakerA4*t4 . ###Yeah . E_S ###SpeakerB5*t5 . ###\[ I , \+ uh like you , I \] have n't done any in quite some time except for what I call -N400131 living now \[ which -N400144 is , \+ which -N400157 is \] very close to -NONE- camping . E_S ###SpeakerA6*t6 . ###Uh-huh . E_S ###SpeakerB7*t6 . ###SpeakerA8*t8 . ###Uh-huh . E_S ###SpeakerB9*t8 . ###SpeakerA10*t10 . ###Yeah . E_S ###SpeakerB11*t10 . ###SpeakerA12*t12 . ###Is it -NONE- . E_S ###Uh-huh . E_S ###SpeakerB13*t13 . ###Yeah . E_S ###You know , I , uh , camped in the Boy Scouts E_S ###and , you know , my dad and I went out sometimes E_S 	but uh, even my first, uh, eight or nine years but not both of working, i camped almost all of the time because i was in construction.
